sample_id,HMDB00001,HMDB00008,HMDB00042,HMDB00043,HMDB00060,HMDB00062,HMDB00064,HMDB00092,HMDB00094,HMDB00097,HMDB00108,HMDB00122,HMDB00123,HMDB00131,HMDB00142,HMDB00148,HMDB00157,HMDB00158,HMDB00159,HMDB00161,HMDB00162,HMDB00167,HMDB00168,HMDB00169,HMDB00172,HMDB00177,HMDB00182,HMDB00187,HMDB00190,HMDB00191,HMDB00201,HMDB00208,HMDB00214,HMDB00243,HMDB00254,HMDB00271,HMDB00294,HMDB00357,HMDB00407,HMDB00452,HMDB00491,HMDB00517,HMDB00562,HMDB00641,HMDB00687,HMDB00691,HMDB00695,HMDB00696,HMDB00754,HMDB00863,HMDB00883,HMDB01659,HMDB01873,HMDB01875,HMDB01881
R5969,NA,4.4,199.4,93,6,13.7,152.8,1.4,17.7,13.8,17.2,3814.8,115.3,163.9,47.8,65.4,NA,21.7,82.2,120.3,26,49.4,20.5,173.9,53,NA,52.8,11.9,1996.5,NA,5.5,7.3,NA,17.3,NA,NA,NA,248.1,NA,NA,NA,NA,50.3,74.5,102,4.3,NA,9.6,1.6,51.5,171.4,41.1,11.3,21.5,1.6
R9497,NA,10.6,805.7,188.6,1.5,14.4,160.7,1.5,62.6,48.6,18.3,4258.6,332.1,155,59.9,220.5,NA,36.2,61.7,251.3,38.4,20.1,42.1,53.8,47.9,NA,69,29.9,5282,NA,3.8,15.9,NA,6.1,NA,NA,NA,339.7,NA,NA,NA,NA,82.6,76.2,99,5.4,NA,12.4,0.5,366.6,184.1,88,10.8,20.1,22.6
R9489,6.9,16.7,415,91.9,1.4,8.5,135,0.7,23.9,10.7,15,4910,204,283,54.1,91,0,25,37.1,186,43.9,29.3,6.2,97.1,36.5,28.2,50.5,94.1,3894,5.9,2.7,20.6,26.4,18.5,11.4,1.2,748,137,1.5,1,1.4,43.9,87.6,109.1,66.5,3.7,1.1,7.9,0.7,124,144,79.4,9.2,15.4,8.4
G3630,10,15.2,270,111.8,1.3,10.1,176,0.8,16.8,12.5,13,2888,105,172,47.1,80,0,24.7,58.4,142,50.3,29.1,10.7,81.1,45.3,22.1,59,78.6,2264,7,4,12.6,35.6,15.6,3.1,1.5,782,122,1.7,1.2,1.3,37,79.9,97.2,93.7,3.9,2.2,8.5,0.6,88.7,195,30.9,7.4,18.6,5.3
G1979,9.1,61,342,78.1,1.5,16.1,138,1.4,22.5,18.8,23.9,4904,204,227,61.6,68.8,0,28.8,59.2,286,46.4,33,13.6,76.2,37.5,42.5,59.8,78.8,11635,4.5,6.9,21,21.9,43.9,8.3,5,795,142,4.1,1.1,2.1,3.6,135.9,136.5,77.1,4.5,2.4,11,3.9,65.9,130,21,10,43.9,5.5
G2500,7.2,35.2,607,160.8,1.7,18.5,178,0.7,46.7,17.9,7.6,5198,172,162,50.8,142.1,0,35.7,58.7,331,38.3,28.3,10.6,93.9,69.9,30.2,62,72.1,14377,7.3,7.6,19.3,34,29.2,4.9,2.8,815,248,3.5,1.7,2.7,4.1,92.4,118.9,103,4.4,2.5,9.7,0,209.6,184,64.3,11.8,65,18.7
R8788,6.5,19.4,219,140.1,1,14.1,237,0.8,26.4,28.7,9.6,2955,311,251,40.4,143.1,0,31.9,53.5,281,45.7,36.7,15.8,59.4,44.6,32.1,73.6,84.2,5952,6.1,2.9,25.1,57.6,21.2,13.8,1.7,996,122,1.3,1.1,1.4,0,80,144.2,79.9,5.1,1.6,12.9,5,59.4,157,100.5,8.6,16.2,36
R119,19.8,40.6,201,95.6,1.2,37.8,248,0.9,22.9,19.3,15.9,3528,155,318,44.2,123.7,1.2,34.2,64.5,237,51.7,47.6,13.7,101.2,85.4,33,131.9,78.7,4993,15,14.1,16.4,36.3,27.6,10.1,1.2,850,240,4.2,12.1,2.5,61.8,87.7,108.5,140.2,5,3,13.7,0,16.9,214,20,9.6,16.1,5.9
R1008,13.6,15.5,293,88.2,1.3,12.2,254,0.8,40.7,21.1,14,3852,224,269,33.3,92.4,1.5,42.8,50.2,281,74.6,45.1,10.1,92.8,51.4,30.1,60,69.3,6167,8.6,4.2,10.8,32.6,30.3,3.1,1.5,1265,161,0.9,1.1,1.8,33.5,110.5,128.6,96.5,5.7,2.3,20.6,0.7,311.8,149,91,10.5,16.6,7.2
R5725,NA,145.7,128.3,105.9,6.9,22.4,207.4,2,26.5,27.4,26,3740.8,165.8,179,26,68.9,NA,35.7,118.5,355.4,47.1,12.2,15.3,122.2,48.6,NA,64.3,48.1,10646.8,NA,8.3,20.5,NA,95.6,NA,NA,NA,68,NA,NA,NA,NA,131.3,163,123.9,5.1,NA,15.3,0,271.1,180.2,177.9,15.3,11.6,4.6
G3030,6.9,38.4,190,83.8,0.7,13.3,125,1.1,20.1,17.4,12.8,3863,208,227,50.4,54.1,1.4,30,85.5,276,28.2,36.4,15,117,63.9,38.8,79.8,80.4,7017,5.9,7.2,12.7,28.6,32.1,6.9,2.2,512,78,2.2,1.4,1.3,40.3,99.3,117.5,116.1,2.9,1.7,15.8,0.2,166.8,177,56.9,7.3,16.3,4.4
G3635,10,19.8,179,154.7,1.1,19.5,166,0.9,18.1,19.9,14.9,4361,286,175,40,77.3,0,25.6,63.7,255,43,36.3,15.5,146.6,46,32.4,75.5,77,2693,10.4,3.7,9.1,36.8,20.9,3.2,1.3,665,70,2.5,1.2,1.2,46.6,81.5,139,100.1,3.1,2.2,13.9,0.3,44.6,173,23.1,5.9,14.1,5.4
G3754,8.5,43,253,75,1.6,30.7,134,1.1,12.7,15.5,19.2,3529,135,283,39.1,61,0,26.5,62.5,367,57.6,30.3,11.5,99.5,65.6,34.3,90.2,30.1,11564,5.7,6.4,14.5,30.1,56.2,6.1,1.7,520,51,3.1,1.4,2.3,30,80.2,113.9,124.1,2.7,2.3,12.4,1,31.7,166,25.9,5.9,15.5,3.1
R5321,NA,156.4,125.4,108.1,7.5,31.6,175.4,4,23.6,22.9,14.3,3061.4,269.9,113.7,46.8,88.2,NA,30,80.2,259.2,53.1,17.8,27.6,98.9,68.1,NA,94.7,30.6,8350.5,NA,9.6,20.1,NA,51.6,NA,NA,NA,56.3,NA,NA,NA,NA,76.7,165.7,124.3,5.4,NA,16.4,1.4,108.5,200.4,92.1,15.1,8.9,3.8
R5696,NA,3.5,208.2,120.5,4.8,13.6,176.6,0.9,22,14.9,19.4,3870.4,161.1,190.9,40,86.1,NA,20.7,77.1,252.3,45.6,33,25.9,135.2,37.5,NA,33.8,45.3,5691.9,NA,12.2,10.9,NA,29,NA,NA,NA,79.9,NA,NA,NA,NA,86.6,63.8,73.5,4.6,NA,10.9,0.4,60,120.5,42,8.5,24.3,33.2
R9836,NA,66.8,120.6,64,7,33.2,170.7,1.5,22.4,18.9,155.9,3813.7,88.9,143.9,36.4,65.4,NA,27.1,82.3,266.7,39.3,24.2,24.6,120.1,56.1,NA,92.8,NA,8017.5,NA,6.3,19.1,NA,58.4,NA,NA,NA,43.5,NA,NA,NA,NA,97.4,100.8,122.9,4.9,NA,16.3,0.4,48.9,179.8,45,10.9,24,4.5
U6974,10.2,17.6,242,107.4,1.6,21.7,330,1.1,32.7,56.7,18,5924,211,235,32.3,164.8,1.3,24.8,52.9,383,69.5,41.3,9.7,81,37.7,26.9,50.6,83.5,9586,2.6,5.5,38,46.6,40.5,10.1,1.4,1047,60,2.4,1.1,1.6,4.6,118.2,143.8,79.4,6.6,2.4,11.6,6.3,79.2,145,15.8,7.7,23.4,2.3
O5003,20.8,115.5,201,81.3,1.6,34.4,289,1.1,33,30.4,13.2,5192,199,283,38.9,135.6,1.8,46.8,74.7,479,88.8,71.9,17.2,120.4,144.1,46.3,174.9,98.4,8343,11.6,14.1,15.7,66.8,45.5,10.1,1.7,1324,220,11.1,39.5,4.8,36.3,154.2,190.7,238.6,7.3,4.6,31.5,1.9,68.4,391,40.6,12.1,18.7,4
Y9745,11.6,18.8,259,127.7,2.2,10.4,283,1,44.2,50.5,46.7,11112,317,337,45.8,197.8,0,45.3,63.1,393,82.1,55.4,16.3,104,79.5,45.5,76,98.5,15730,8.3,6,36,52.8,52.4,12.7,2.1,1327,134,1.6,0.4,2.5,152.3,123.6,176.5,147.3,5.4,2.7,18.9,0,337.1,223,99.7,14.4,16.7,8.3
Y3552,6.6,21.2,220,83.1,1.2,16.4,115,1.5,20.7,24.6,15.5,4066,173,211,43.7,65.7,0,25.4,64.7,252,54.2,28.9,10.4,107.5,50.5,30.3,65.3,89.2,5754,7.2,3.3,12.7,23.2,33.5,3,2.5,774,100,1.7,0.9,1.5,22.5,94.5,110.9,83,4.9,2.3,12.9,0.5,86.9,129,38,6.6,16,4.3
R9877,NA,51.4,120.7,120.9,1.5,36.4,169.3,1.3,31.9,18.9,20.6,4677.3,164,132.4,46.3,71.2,NA,33.1,77.7,286.3,44.3,51.8,33.4,127.8,74,NA,103.6,48.5,6259.1,NA,12.1,25.3,NA,51.8,NA,NA,NA,119.4,NA,NA,NA,NA,81,122.7,146.8,4.7,NA,14.3,1.4,77.2,218.9,32.9,10.6,14.1,2.6
O4474,7.9,20,230,136.1,1.7,20.2,360,1.2,28,22.2,13.5,4911,143,213,31.3,149.9,0,21.1,55.4,362,63.5,24.7,13.5,94.3,30.9,30.5,35.4,64.4,14525,3.6,6.8,31,51,44,9.3,1,1009,84,1.5,1.1,1.1,50.6,93.5,138.7,73.9,5.2,2.2,10.6,0,35.5,126,8.8,9.8,61.3,3.6
R8966,13.8,18.9,232,151.8,1.4,29.8,228,0.9,27.3,12.2,10.9,3405,173,138,73.6,157.5,1.3,37.7,65.4,258,31.8,38.4,18,75.7,83.9,27.9,94.5,147.1,6353,4.5,7,18.7,30.1,29,13.8,3.2,1149,141,2.1,0.1,2.3,13.6,99.5,104,128.1,3.4,2.1,20.1,0,122.6,192,39.9,7.5,72.2,49.1
O4919,27,66.2,233,105.2,2.1,48.5,165,1.8,24,25.7,18.5,5129,118,269,44.7,103.9,0.8,51.2,86.3,402,98.8,78,18.5,85.5,147.6,49.3,204.6,103.3,7694,5.6,12.4,14.9,61.2,45.5,9.2,1.9,1463,118,12.4,0.2,3.6,55.4,179.5,146.7,295.4,6.6,3.5,29.4,1.6,59.3,525,18.2,13.4,15.8,2.9
Y3735,5.8,14.3,288,87.5,0.9,22.4,142,0.7,24.9,12,19,2864,177,218,40,75.4,0,21.4,37.6,136,38.5,18.2,12.7,54.9,52.5,23.5,63.7,73.7,3018,5.2,5.3,14.1,28.3,9.6,2.9,3.1,644,275,2.2,1,1.9,24.4,68.6,74.4,65.7,4.5,2.7,9.5,0.5,109.8,146,131.3,7.7,15.2,43.9
Y2904,18.2,31.1,191,159.8,6.6,23.9,282,1.1,39.7,370,7.7,4362,780,278,19.6,261.3,59.6,32.9,62.9,359,84.8,32.7,4.1,70.3,62.2,43,98.3,117.8,5910,31.6,3.2,9.3,91.3,23,32.6,2.8,1001,127,1.8,1.2,2.1,6.1,96.4,104.7,115,27.3,2.5,14.1,0.5,100.7,171,10.6,10.1,73.3,6.6
R5700,NA,22.9,295.9,99,1.6,22.1,156,1.6,26.1,14.4,16.2,3250,219.2,168.2,62.3,74.9,NA,22.4,61.6,213.4,41.3,16.6,19.7,86.9,40.5,NA,54,89.2,5342.8,NA,2.5,16.9,NA,33.8,NA,NA,NA,137.6,NA,NA,NA,NA,78.8,112.1,73,7.3,NA,9.6,0.1,72.9,115.8,23.6,8.1,33.8,129.5
R5979,NA,4.7,338.1,168.3,6,19.4,155.7,1.5,42,15,22.3,4196.5,202.2,185.1,64.3,103.3,NA,25.1,49.6,214.3,18.3,25,26.6,105.2,54.2,NA,57.8,82.6,3621.2,NA,2.8,18,NA,14.5,NA,NA,NA,164.5,NA,NA,NA,NA,93.3,42.4,80.8,5,NA,10,0.6,116.7,148.7,44.2,9.7,23.6,12.6
P4693,14.5,30.4,304,118.5,1.9,16.9,433,1.5,30.3,65.6,16.2,4601,491,304,26.6,166.4,0,34.3,95.5,539,88.9,45.5,17.6,103.6,56.9,52.8,62.8,106.6,20842,25.3,7.3,24.5,33.3,51.9,14.5,3.1,1418,201,1.6,1.4,2.1,41.6,111.2,159.8,115.5,6.8,2.2,19,0.1,487.5,148,123.4,10.5,15.8,29.7
P4666,7.5,17.2,229,86.5,1.4,13,111,0.5,57.5,35.9,28.9,3746,256,167,40.9,128.3,0,42.8,54.6,183,43.2,26.7,14.2,62.1,54.7,38,51.4,74.6,4652,14.8,3.8,13.1,40.4,12.3,9.2,2.8,578,172,1.1,1.1,1.2,40.8,60.3,137.8,100.8,4.2,1.6,17.9,1.1,210.8,153,67.1,9.7,11.7,13.6
G3550,10.3,37.2,227,78.8,1.5,15.5,153,0.7,30.1,57.4,15.3,4354,437,226,25.6,140.6,1.8,27.9,50.8,307,70.8,11.8,8.9,69.6,27.1,35.2,48.1,33.2,7322,5.4,3.4,30.7,60.4,29.7,16.3,1,1032,117,0.9,1,1.1,3.5,121.7,99.5,74.7,6.5,1.6,8.9,0.7,121.1,130,25.8,8.4,16.2,2.5
R9986,NA,6,198.7,116.7,1.4,32.1,192.1,1.2,34.1,94.8,22.2,3512,262.8,93,57.5,161.8,NA,27.9,55.9,223.7,62.1,28.8,22.3,89,40.2,NA,69.8,107,5443.6,NA,3.8,17.7,NA,12.6,NA,NA,NA,111.7,NA,NA,NA,NA,77.9,77.9,88.7,5.4,NA,7.8,0.5,118.3,142.8,43,8.1,11.3,21
R5994,NA,41.9,166.4,148.4,6.2,21.3,168.2,1.3,27.8,12.7,15.8,4227.4,138.1,153.2,48.5,67.1,NA,22.2,72.6,162.2,30.3,35,25.9,149.1,52.3,NA,81.5,68.1,2705.6,NA,9.3,17.2,NA,18.2,NA,NA,NA,160,NA,NA,NA,NA,97.4,90.2,114,3.8,NA,8.3,1,34.2,159.3,37.4,10.9,11.4,15.8
R50,12.1,17.6,184,116.7,2,12.9,138,0.8,47.7,87.5,13.5,3896,400,169,38.4,171.2,1.7,36.7,38.6,263,84,41.9,25.2,40.8,77.9,33.9,103.8,125.7,4753,17.8,3.1,14.8,76.3,9.2,13.5,1.7,967,138,1.5,1.2,2.1,75.2,98.5,179.2,86.4,5.9,2.3,19.4,0,52,168,58.9,7.7,64,5.4
G3614,17.5,36.7,250,201.8,2.3,30,199,2.1,143.4,99.8,48.6,3640,481,105,38.3,68.3,9.7,46.7,40.7,315,31.8,0,53.3,270,68.9,28.9,57,110.3,5298,24.6,2.8,13.9,83.2,17.5,17.1,5.4,1302,182,5.8,133.9,6.7,89.7,105.8,184.6,26.5,13.7,7.9,29.7,5,72.9,128,42,12.6,27.8,0
R5242,NA,89.4,154.5,73.9,1.8,52.1,187.7,3,14.7,13.5,19.7,4383.5,167.1,130.8,50.9,65.5,NA,27.9,73.7,383,59.5,14.8,24.7,131.4,43.1,NA,44.2,58.6,18755.4,NA,13.8,23.9,NA,70.9,NA,NA,NA,64.9,NA,NA,NA,NA,84.7,153.1,85,3.7,NA,13.3,0,216.4,138.9,59.1,10,11.2,12.6
O4349,7.3,16.6,274,72.7,1.3,13.2,220,0.7,41.2,89,12.6,3734,298,144,26.9,133.7,0,32.5,49.5,204,58.8,24.9,9.2,60.1,32.2,36.1,44.3,45,4260,4.6,3.8,33.3,67.8,21.8,18,1.2,1008,115,0.8,0.1,1.1,19.8,92.3,132.6,70.5,6.7,1.9,11.5,0.2,24.9,114,17.6,9.4,59.5,1.9
U4915,14.7,64.9,182,39.1,1.5,27.7,194,3.1,19.4,26,15.1,4831,225,175,52,49.4,1.5,30.2,51,252,55.2,36.2,10.1,139.5,63.9,50.6,76.2,79.3,6924,4.1,4.5,19.3,22.2,45.5,9.4,3,1124,55,2.6,1.1,2.4,19.4,77.9,107.7,107.3,5.7,2.2,23.9,2.7,92.2,141,25.8,10.2,14.3,2.1
R493,8.3,13,268,133.3,1.7,15.8,223,0.8,58,38.4,29.6,5174,284,195,48,152.7,0,19.4,25.5,208,40.7,26.5,11.9,40.6,40.3,25.7,36.7,89.9,8953,2.5,3.4,29.1,41.5,11.6,23.6,1.1,1133,163,2.1,0,1.6,37.1,92.1,143,56.9,5.6,1.4,8.7,0.7,66.7,129,132.8,8.2,18.1,12.1
O4638,9.5,20,237,91.9,1.6,15.3,173,0.5,19.6,26.4,9.9,5129,155,165,33,119,0,22.9,52.2,293,50.2,24.5,10.9,103.3,41,30.6,42.1,36.7,11783,7.4,6,20.2,37.6,41.6,9.4,1,972,62,1.5,1.2,1.2,22.7,114.9,135.3,80.1,3.7,1.9,9.4,0.1,149.6,143,14,8.3,66.7,13.2
O3720,14.7,29.4,415,169.9,1.2,16.5,233,0.7,54.2,23.9,11.5,4940,237,206,39.8,135,0,30,47.9,274,55.2,27.5,11.6,87.2,78,28.7,71,71.2,9566,15.9,5.9,15.4,43.7,33.5,3.5,1.4,708,208,3,6.9,2.5,3.1,77.7,148.6,86.5,4.2,1.7,15.5,0,43.2,156,17.3,8.4,64.1,4.2
O4906,9.8,9.8,662,155.1,1.9,9.7,214,0.6,220.7,25.5,14.9,11280,184,260,43.4,219,0,54.3,38.4,380,64.1,58.5,19.8,38.1,80.1,38,58,71.6,20119,8.5,6.3,26.5,55,47.7,17.2,2.6,476,283,1.6,1.8,2.4,53.7,104.4,195.8,110.9,5.8,1.6,22.5,9.5,13.6,206,16.8,13.7,22.6,6.4
U6921,8.1,27.1,281,87.2,0.8,23.4,89,0.8,17.5,28.1,14.2,3723,114,177,38.1,71.9,1.6,24.2,52.6,132,34.2,26.2,10.6,98.1,50.9,20.3,75.3,55.6,2845,8.7,8,8.4,41.4,13.6,6.5,2.8,431,152,2.3,1.1,1.3,10,72.6,76.5,99.6,5.2,2,7.6,2.5,26.3,178,26.7,7.3,16.3,5.9
G3121,7.8,16.4,567,82,1.8,12.8,109,2.6,20.8,21,18.2,3361,180,172,57.4,137.4,0,32.3,90.5,158,47.5,44,11.2,81.6,71.6,29.2,69.3,72.8,3231,10.5,5.9,9.6,53,9,1.7,7.8,734,440,1.5,1.3,2.6,2.1,70.9,119.4,92.5,5.9,1.5,12.3,4.2,92.2,178,50.9,11.3,20.5,82.7
Y9682,10.9,37.1,248,61.5,1.6,31.5,147,1.2,15.1,13.8,22.2,3212,186,258,56.6,36,0,27.5,46.8,205,61.7,23.8,12.5,80,44.1,28.5,67.7,104.4,6950,4.5,10.1,14.5,22.4,42.5,4.9,6.2,696,168,1.8,0.2,2.5,77.7,41.7,110.7,69.1,5.3,3,14.2,0.7,34.1,113,14.5,8.1,34.3,9.6
R9504,NA,51.1,235.5,203.6,1.8,19.9,197.9,2.6,21.7,16.7,25.1,4784.7,145.4,200.3,65.8,94.2,NA,25.9,77.6,218.8,50.9,35.6,14.4,205,70.4,NA,92.6,87.9,6478.8,NA,6.1,21.7,NA,23.5,NA,NA,NA,86.4,NA,NA,NA,NA,108,121.6,146.9,4.6,NA,8.2,1.3,72.2,229.5,26.9,9.4,16.4,3.8
R9499,NA,61.5,178.9,110.8,8.9,29.6,167.1,1.9,29.7,14.9,17,3697.8,154.7,149.7,55.7,104.3,NA,31.6,87.1,379.3,57.1,45.1,28.6,122.2,82.6,NA,166.9,85.3,6297.8,NA,7.3,18.1,NA,41.1,NA,NA,NA,53.8,NA,NA,NA,NA,102.5,169.2,173.6,5.4,NA,18.7,1.4,54.7,233.2,21.4,10.3,34.4,2
R1156,25.6,22.5,236,212.6,1.3,17.8,165,2.2,29.2,28.2,22.1,4948,333,156,50.7,125.1,0,33.1,51.9,197,97.9,34.6,15.6,99.4,56.5,40.5,126.7,77.3,3725,12.7,4.4,8.3,45.7,16.4,8.5,6.3,1542,163,1.6,1.2,1.4,1.3,185.3,130.7,83.4,7.6,3.5,19.4,1.7,44,173,79.6,10.6,14.4,124
W3169,8.4,13.9,292,114.1,0,10.2,179,0.9,26.2,21.8,16,3723,236,172,39.8,65.6,0,32.8,63.1,266,45.4,42.8,17.1,98.7,53.6,18.8,75,80.3,7310,14.5,3.5,12.1,39,41.9,3.9,1.9,993,152,1.7,1.9,2.1,35.3,93.3,120.7,96,5.2,2.5,20.9,3.8,102.8,146,44.5,9.9,17.9,5.8
R5080,NA,43.9,150.7,101.4,6.9,20.8,162.6,1.8,18.7,11.8,19.2,4340.1,115.2,144.2,49.9,63.5,NA,27.1,110.5,246.6,32.9,55.4,28.1,248.8,60.3,NA,70.9,14.6,3058,NA,7.1,7.8,NA,26.2,NA,NA,NA,125.8,NA,NA,NA,NA,63.5,106.5,126.1,2.8,NA,14.7,0.5,63.7,189.3,49.9,10.9,12.1,1.6
R9900,NA,36.3,140.5,71.6,1.4,25.2,147.7,2,0,15.5,24,3982.9,159.8,189,58.2,77.9,NA,29,68.8,298.5,65.3,60.1,33.3,132.8,62.1,NA,90.3,90.9,8287.9,NA,7.2,26.4,NA,56.3,NA,NA,NA,49.7,NA,NA,NA,NA,90.3,88.1,126.2,4,NA,19.3,1,241.6,207.9,30.9,10.7,18.8,7.8
Y3059,17.3,59.4,158,43.6,1,40.7,230,1,19.6,9.5,10.9,2810,88,177,47,42.2,0,43.5,88.7,453,44.2,37.8,16.9,80.4,64.9,65.8,105.2,47.3,7762,3.7,10.6,16.7,21.9,72.5,6.4,1.3,927,49,4.4,0.2,1.7,7.8,94,156.4,175.2,5.7,2.9,12.3,0,146.4,243,193.6,9.1,18.4,4.5
R5972,NA,40,155.3,84.2,1.4,17.3,93.8,1,23.6,11.2,20.2,4983.4,169.5,154.3,49.9,66.4,NA,27.1,66.3,383.2,52.6,63.3,32.9,125.7,84.6,NA,99.7,51.4,7860.5,NA,6.5,20.5,NA,53.6,NA,NA,NA,133.3,NA,NA,NA,NA,165,141.2,149.3,4.4,NA,17.6,1,81.9,244.1,36.6,10.2,14.4,43
O4713,8.6,27.7,290,92.1,0.9,12.4,148,0.7,27,15.5,6.8,3550,194,148,36,123.5,0,29.7,58.8,246,38.5,16.7,13.2,90.9,41.4,24.4,44.1,69.9,3424,7.5,4.2,16.2,40,24.4,3.2,1.5,856,164,1.6,1,1.2,21,70.3,139.6,66.6,3.4,2,9.6,0.5,99.2,136,42.4,11.2,12.5,7.5
G3068,9.9,57.6,216,70,1,9.3,126,1.4,24.4,16.8,10.8,4012,189,201,43.8,64.4,1.5,22.7,54.5,114,27.8,27.6,8.3,96.7,38.2,21.3,48.5,52,2959,3.1,6.6,18.5,21.3,20.2,8.1,1.2,748,212,3.3,6.2,2.2,3.5,67.7,75.3,62.5,7.1,2.7,9.1,5.4,130,119,80.3,11.6,17.7,6.7
R9830,NA,32.5,232.2,213.3,1.3,22.4,146.9,1.2,17.9,13.6,14.8,4687.9,299.5,103.3,38.2,84.6,NA,16.7,84.3,220.1,46.6,40.9,27.4,153.5,44.1,NA,66.8,92.1,2614.5,NA,6.8,8.8,NA,43.1,NA,NA,NA,140.9,NA,NA,NA,NA,67.7,180.1,108.9,4.2,NA,11.3,0.8,37.4,177.3,43.9,7.8,9.9,27.8
R9556,NA,60.6,153.2,63.6,7,31.5,104.6,1.7,4.5,20.8,15.2,4465.9,108.2,169.7,60,93.1,NA,28.9,85.5,289.5,50,17.4,23.8,136.3,64.7,NA,110.6,7.7,8955.6,NA,5.6,17.8,NA,48.2,NA,NA,NA,23.4,NA,NA,NA,NA,80.1,139.1,134.4,3.4,NA,13,1.1,105.8,187.9,35.8,7,25.6,3.5
R9627,NA,4.4,369.5,115.2,5,13.7,96.3,1.2,29.6,10.2,19.5,3034.5,139.7,130.5,67.4,81.4,NA,24.4,67.3,137.8,31.1,32.8,21.5,136.3,46.8,NA,63.6,64.7,2755.4,NA,2.4,9.9,NA,15.3,NA,NA,NA,251.5,NA,NA,NA,NA,71.1,92.1,69.6,4.3,NA,2.7,0.7,59.3,126.9,53.1,9.8,32.9,12
P4735,16,27,493,62.4,0.8,8.1,109,0.7,103.8,21.9,15.3,3770,229,260,53.2,124.1,1.1,59.8,41.7,241,43.2,42.8,20,30.4,56.9,33.9,40.8,64.4,4911,7.7,2.8,17.5,42.5,21.3,8.4,6.7,994,262,1.3,1.1,0.4,49.2,96,146.2,106.6,5,3.4,21.3,0.8,69.3,155,30.9,14,18.9,102.7
U6879,15.4,27.8,151,93.1,1.1,23.1,209,0.8,22,38.4,14.6,3224,283,162,27.1,165.8,0,28.7,63.4,318,57.3,30,16.4,77.7,61.3,33,90,105.4,5110,9.7,5.9,15.1,59.7,18.9,11.5,1.7,650,100,3,14.1,1.6,3.9,83.9,112.1,111,5.6,2.1,15.6,0.8,30.6,181,18.2,6.9,63.8,2.4
R1111,11.3,16.6,363,120.5,1.6,16,157,1.2,60.7,25.9,16.3,5322,326,302,49.8,135.8,0,27.5,48,299,60.8,27.9,11,80.2,44.3,27,40.1,92.7,7218,5.9,4.5,22,29,17.2,15.1,3.3,840,124,1.7,0.2,1.5,27.1,118.2,126.8,89.3,5.6,2.4,12.2,0.2,127.5,117,37.4,9.5,29.7,23.6
U6892,8.5,12.3,279,67,1.3,12.7,80,0.5,46.1,18.1,20.4,5418,196,228,49.6,81.6,0,31.9,42.6,200,62.7,32.8,8.5,51.8,41.6,29.2,49.6,81.6,4711,1.8,2.9,25,33.3,28,10.3,1.6,589,107,1.4,1.1,1.4,26.5,98.9,126.4,74.4,4.3,2.1,10.7,0.3,110,146,28.9,7.8,12.4,10.6
O4328,9.8,30.1,209,65.4,1.3,26.6,143,0.6,25.7,21.7,21.5,5440,235,168,43.6,120.8,0,27.2,40.6,275,36.1,26.7,6.5,73.5,44.1,31.3,73.1,55,8624,4.9,4.9,21.9,31.4,35.6,10.6,1.4,690,82,4.6,1.2,1.5,3.2,88.7,81.2,84.5,3.8,1.9,12.8,0,24.2,140,22,7,16.2,42.7
P4492,9.5,21.4,558,65,1.5,10.6,212,0.7,125.1,20.2,12.7,4919,191,229,35,145.8,0,68.7,47.6,282,59.2,65.2,14.9,36.3,93.5,32.7,70,67.3,4964,6.5,3.2,11.8,66.3,31.4,8.1,3.3,971,268,2.5,1.8,2.1,55.5,81.3,168.6,167.4,6,2.3,19.9,8.7,155,258,60.2,14,19.4,91.3
O5096,21.8,52.6,222,128.3,2,42.9,251,0.7,27.4,25.9,25.3,7062,254,141,41.8,120.4,0,38.9,60.6,559,66.4,55.1,9.9,124.3,94.4,43.3,145.6,77.9,16145,2.7,10.2,30.7,50.3,86.1,8.9,3.6,1087,109,3.4,21.3,3.3,27.1,101.3,141.7,174.5,4.7,3.3,22.2,0,16.9,271,12.6,10.6,67.3,7.7
U6679,14.8,90.8,178,72.1,1.4,48.8,177,1.3,19.4,29.9,13.1,4166,152,198,45.8,79.7,0,29.9,102.1,260,38.1,38.6,6.3,195.3,80.3,31,100,64.7,5326,3.2,15.9,10.2,23.8,22.6,5.7,2.9,933,107,7.9,26,2.2,35.2,92.8,82.6,154,4,2.8,15.7,2.2,51.7,245,38.7,11.2,12.3,2.1
O5245,16.2,18.7,246,85,4.7,15.7,134,8.1,32.5,42.2,23.6,2597,491,169,56.7,139.7,1.4,25.4,52.9,228,61.4,16.4,10.9,37.8,39.9,43.1,85.2,99.4,5625,6.7,3.6,12.8,43.7,11.2,13.7,3.2,963,154,1.5,1.2,1.3,53.2,138.2,122.7,98.9,6.9,3.4,4.3,1,40.9,161,55.2,6.5,15.9,52.1
O5076,15.5,25.7,322,131.4,1.5,19.9,249,0.8,70.5,56.3,14.7,8522,362,224,42.4,224.6,0,32.3,52.3,378,59.7,29.4,8.4,88,51.2,36.5,66.9,103.9,12854,6.4,5.2,36.6,113.7,24.5,20.2,1.4,943,140,1.6,1.4,1.3,17.2,90,154.7,100.4,4.7,1.5,15.6,0,17.1,166,11.4,9.1,63,0.5
